"Nom","Fichiers","Sous-dossiers","Taille Logique","Taille Physique","Attributes","Dernier changement","WinDirStat Attributes"
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\utils\imagePath.ts",0,0,343,344,0x00000020,2025-05-22T20:15:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\shared",4,2,924,936,0x00000010,2025-05-22T21:32:56Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\shared\models",0,0,0,0,0x00000010,2025-05-19T19:18:02Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\shared\interfaces",4,0,924,936,0x00000010,2025-05-22T21:32:56Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\shared\interfaces\index.ts",0,0,0,0,0x00000020,2025-05-19T22:51:00Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\shared\interfaces\IinitialCartItems.interface.ts",0,0,187,192,0x00000020,2025-05-19T22:50:28Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\shared\interfaces\Iproduct.interface.ts",0,0,293,296,0x00000020,2025-05-19T19:18:40Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\shared\interfaces\SocialMediaPost.tsx",0,0,444,448,0x00000020,2025-05-22T21:32:56Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\index.css",0,0,3352,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\App.tsx",0,0,3695,4096,0x00000020,2025-05-22T22:01:54Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\api",1,0,3973,4096,0x00000010,2025-05-22T19:36:42Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\api\mockApiService.ts",0,0,3973,4096,0x00000020,2025-05-22T19:36:42Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\hooks",2,0,4670,4680,0x00000010,2025-05-19T12:13:12Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\hooks\use-mobile.tsx",0,0,584,584,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\hooks\use-toast.ts",0,0,4086,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\lib",2,0,2394,8192,0x00000010,2025-05-22T12:26:52Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\lib\utils.ts",0,0,1134,4096,0x00000020,2025-05-20T01:48:11Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\lib\stripe.ts",0,0,1260,4096,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\data",2,0,7436,12288,0x00000010,2025-05-22T20:18:06Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\data\blogPosts.ts",0,0,2852,4096,0x00000020,2025-05-22T19:33:16Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\data\products.ts",0,0,4584,8192,0x00000020,2025-05-22T20:18:06Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\context",4,0,5043,16384,0x00000010,2025-05-20T00:41:51Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\context\useCartUI.ts",0,0,1224,4096,0x00000020,2025-05-20T00:41:51Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\context\useCart.ts",0,0,916,4096,0x00000020,2025-05-20T00:37:49Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\context\CartIcon.tsx",0,0,935,4096,0x00000020,2025-05-20T00:24:29Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\context\CartContext.tsx",0,0,1968,4096,0x00000020,2025-05-20T00:27:54Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages",16,0,113035,151552,0x00000010,2025-05-22T22:01:32Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Terms.tsx",0,0,1666,4096,0x00000020,2025-05-22T21:59:37Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Story.tsx",0,0,1657,4096,0x00000020,2025-05-22T22:01:32Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Shipping.tsx",0,0,2013,4096,0x00000020,2025-05-22T21:24:49Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Returns.tsx",0,0,2248,4096,0x00000020,2025-05-22T21:27:18Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\FAQ.tsx",0,0,2546,4096,0x00000020,2025-05-22T21:27:16Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\CGV.tsx",0,0,1576,4096,0x00000020,2025-05-22T22:00:14Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\About.tsx",0,0,2248,4096,0x00000020,2025-05-22T21:28:41Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\NotFound.tsx",0,0,5932,8192,0x00000020,2025-05-19T22:37:50Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\BlogPost.tsx",0,0,6400,8192,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Blog.tsx",0,0,7694,8192,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Products.tsx",0,0,8656,12288,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Index.tsx",0,0,8577,12288,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Cart.tsx",0,0,10620,12288,0x00000020,2025-05-22T20:37:29Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\ProductDetail.tsx",0,0,12417,16384,0x00000020,2025-05-22T20:29:25Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Contact.tsx",0,0,17089,20480,0x00000020,2025-05-19T22:16:44Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\pages\Checkout.tsx",0,0,21696,24576,0x00000020,2025-05-22T21:46:56Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components",58,1,188443,316912,0x00000010,2025-05-22T22:05:15Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\BlogList.tsx",0,0,667,672,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\Testimonials.tsx",0,0,2073,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ProductShowcase.tsx",0,0,4094,4096,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\InstagramFeed.tsx",0,0,3387,4096,0x00000020,2025-05-22T21:36:19Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\HeroImage.tsx",0,0,855,4096,0x00000020,2025-05-20T01:47:43Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\BlogCard.tsx",0,0,1863,4096,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\PageFooter.tsx",0,0,5084,8192,0x00000020,2025-05-22T22:05:15Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\Navigation.tsx",0,0,4545,8192,0x00000020,2025-05-22T12:26:52Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\Footer.tsx",0,0,12748,16384,0x00000020,2025-05-22T22:03:11Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui",49,0,153127,262992,0x00000010,2025-05-19T12:13:12Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\use-toast.ts",0,0,85,88,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\aspect-ratio.tsx",0,0,145,152,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\skeleton.tsx",0,0,276,280,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\collapsible.tsx",0,0,324,328,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\tooltip.tsx",0,0,1173,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\toggle.tsx",0,0,1478,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\toggle-group.tsx",0,0,1798,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\toaster.tsx",0,0,805,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\avatar.tsx",0,0,1453,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\tabs.tsx",0,0,1936,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\table.tsx",0,0,2882,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\switch.tsx",0,0,1166,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\sonner.tsx",0,0,923,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\slider.tsx",0,0,1103,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\textarea.tsx",0,0,796,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\alert.tsx",0,0,1643,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\accordion.tsx",0,0,2033,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\separator.tsx",0,0,785,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\scroll-area.tsx",0,0,1688,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\resizable.tsx",0,0,1752,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\radio-group.tsx",0,0,1509,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\progress.tsx",0,0,803,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\popover.tsx",0,0,1259,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\pagination.tsx",0,0,2868,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\breadcrumb.tsx",0,0,2816,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\label.tsx",0,0,734,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\input.tsx",0,0,813,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\input-otp.tsx",0,0,2223,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\hover-card.tsx",0,0,1211,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\drawer.tsx",0,0,3123,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\dialog.tsx",0,0,3955,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\checkbox.tsx",0,0,1084,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\card.tsx",0,0,1956,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\calendar.tsx",0,0,2684,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\button.tsx",0,0,1957,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\badge.tsx",0,0,1164,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\toast.tsx",0,0,4972,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\sheet.tsx",0,0,4381,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\context-menu.tsx",0,0,7444,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\command.tsx",0,0,5032,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\dropdown-menu.tsx",0,0,7493,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\navigation-menu.tsx",0,0,5174,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\form.tsx",0,0,4261,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\select.tsx",0,0,5773,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\alert-dialog.tsx",0,0,4559,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\carousel.tsx",0,0,6470,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\menubar.tsx",0,0,8208,12288,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\chart.tsx",0,0,10829,12288,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\src\components\ui\sidebar.tsx",0,0,24128,24576,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public",26,8,14103320,14152328,0x00000010,2025-05-22T22:13:27Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\_redirects",0,0,23,24,0x00000020,2025-05-22T22:13:27Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\robots.txt",0,0,174,176,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\404.html",0,0,265,272,0x00000020,2025-05-22T22:12:16Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\placeholder.svg",0,0,3253,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\favicon.ico",0,0,7645,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets",21,7,14091960,14139568,0x00000010,2025-05-19T23:02:39Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\fonts",0,0,0,0,0x00000010,2025-05-19T22:55:51Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images",21,5,14091960,14139568,0x00000010,2025-05-19T23:02:39Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\images_URLs.txt",0,0,171,176,0x00000020,2025-05-19T18:29:19Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\handmade_products.webp",0,0,29362,32768,0x00000020,2025-05-19T12:18:48Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\chapeau_de_paille_berbere_2.jpg",0,0,39576,40960,0x00000020,2025-05-19T12:24:39Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\home_page_image.webp",0,0,90936,94208,0x00000020,2025-05-19T12:24:35Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\blog",3,0,306175,315392,0x00000010,2025-05-19T18:53:44Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\blog\symboles_berberes.webp",0,0,66198,69632,0x00000020,2025-05-19T12:18:42Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\blog\fibre_vegetal.jpg",0,0,67258,69632,0x00000020,2025-05-19T16:27:00Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\blog\tissage.jpg",0,0,172719,176128,0x00000020,2025-05-19T12:18:51Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\produits_phares",4,0,437777,446464,0x00000010,2025-05-19T19:01:01Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\produits_phares\sac_bandouliere.webp",0,0,33180,36864,0x00000020,2025-05-19T18:40:24Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\produits_phares\sac_tresse_naturel.jpeg",0,0,92893,94208,0x00000020,2025-05-19T18:40:17Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\produits_phares\chapeau_a_large_bord.webp",0,0,150726,151552,0x00000020,2025-05-19T16:10:55Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\produits_phares\chapeau_panama.webp",0,0,160978,163840,0x00000020,2025-05-19T12:43:50Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\products",2,0,453415,454656,0x00000010,2025-05-19T18:58:41Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\products\chapeau_de_paille_berbere.jpg",0,0,73398,73728,0x00000020,2025-05-19T12:43:46Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\products\sac_a_main_tisse_traditionnel.jpg",0,0,380017,380928,0x00000020,2025-05-19T12:44:02Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\instagram",4,0,720623,729088,0x00000010,2025-05-19T18:44:30Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\instagram\insta_image_1.jpg",0,0,41273,45056,0x00000020,2025-05-19T12:44:05Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\instagram\insta_image_4.jpg",0,0,68726,69632,0x00000020,2025-05-19T12:18:54Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\instagram\insta_image_2.webp",0,0,197064,200704,0x00000020,2025-05-19T12:43:57Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\instagram\insta_image_3.jpg",0,0,413560,413696,0x00000020,2025-05-19T12:19:00Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\sacs",4,0,12013925,12025856,0x00000010,2025-05-19T23:02:39Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\sacs\sac_traditionnel.jpg",0,0,1163573,1167360,0x00000020,2023-10-09T12:54:42Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\sacs\sac_traditionnel_vue2.jpg",0,0,2949948,2953216,0x00000020,2025-05-19T19:43:30Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\sacs\sac_traditionnel_vue3.jpg",0,0,3160024,3162112,0x00000020,2025-05-19T19:43:24Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\public\assets\images\sacs\sac_traditionnel_vue1.jpg",0,0,4740380,4743168,0x00000020,2025-05-19T19:43:27Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist",30,8,14654899,14709384,0x00000010,2025-05-22T22:33:17Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist\_redirects",0,0,23,24,0x00000020,2025-05-22T22:13:27Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist\robots.txt",0,0,174,176,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist\404.html",0,0,265,272,0x00000020,2025-05-22T22:12:16Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist\placeholder.svg",0,0,3253,4096,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist\index.html",0,0,1265,4096,0x00000020,2025-05-22T22:33:17Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist\favicon.ico",0,0,7645,8192,0x00000020,2025-05-19T12:13:12Z,0x0108
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist\assets",24,7,14642274,14692528,0x00000010,2025-05-22T22:33:17Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist\assets\fonts",0,0,0,0,0x00000010,2025-05-22T22:33:17Z,0x0104
"C:\Users\1\Documents\GitHub\lucid-web-craftsman\dist\assets\blogPosts-DDxNU5oZ.js",0,0,2325,4096,0x00000020,2025-05-22T22:33:17Z,0x0108
